,url,full_text
0,https://www.aljazeera.com/where/palestine/,Is­rael has only it­self to blame for the the pub­lic out­rage against its apartheid re­al­i­ty and the hor­rif­ic war on Gaza.
1,https://www.aljazeera.com/news/longform/2023/12/2/israel-palestine-and-canadas-schizophrenic-foreign-policy,"Montreal, Canada - More than a month into its bombardment of Gaza, the Israeli military issued a warning: Ground troops had surrounded the largest hospital in the Palestinian enclave, al-Shifa. A raid would be launched “in minutes”.

The impending siege of the Gaza City health complex sparked panic among the thousands of injured patients, medical staff and displaced Palestinians sheltering there.

But amid urgent international pleas to protect Gaza’s hospitals, much of the focus in Canada was on the tougher tone of Prime Minister Justin Trudeau.

“I have been clear: The price of justice cannot be the continued suffering of all Palestinian civilians. Even wars have rules,” Trudeau said in a news conference on November 14, around the time the al-Shifa raid began.

“I urge the government of Israel to exercise maximum restraint,” he continued, offering his toughest comments since the war began. For weeks, Trudeau had been ignoring calls - and some of Canada’s largest protests in recent memory - demanding an immediate ceasefire in Gaza.

“The world is watching. On TV, on social media, we’re hearing the testimonies of doctors, family members, survivors, kids who’ve lost their parents. The world is witnessing this. The killing of women and children - of babies; this has to stop.”

The response from Tel Aviv was swift. Prime Minister Benjamin Netanyahu reacted publicly to Trudeau’s speech, arguing on social media that the Palestinian group Hamas, not Israel, was responsible for any civilian casualties. Netanyahu pointed to Hamas’s attacks in southern Israel on October 7, one of the events that precipitated the war.

Pro-Israel lobby groups in Canada echoed that argument, saying “the blood of dead babies - Israeli and Palestinian - is on Hamas” and accusing Trudeau of fuelling anti-Semitism.

In the days that followed, Canadian ministers sought to temper Trudeau's comments.

“The prime minister, quite understandably, is concerned about innocent lives on both sides of that border,” Defence Minister Bill Blair told the Canadian network CTV. “We've also been crystal clear: Israel has the right to defend itself.”

The episode is one of many examples in recent weeks of what observers have described as Canada’s “schizophrenic” foreign policy when it comes to Israel and Palestine.

“Whenever [Trudeau] does show any mettle with respect to this, he invariably then steps back from what he said after any sort of criticism coming from either the Israel lobby in Canada or Israeli leaders,” Michael Lynk, a former United Nations special rapporteur on human rights in the occupied Palestinian territories, told Al Jazeera.

.@JustinTrudeau It is not Israel that is deliberately targeting civilians but Hamas that beheaded, burned and massacred civilians in the worst horrors perpetrated on Jews since the Holocaust. While Israel is doing everything to keep civilians out of harm’s way, Hamas is doing… — Benjamin Netanyahu - בנימין נתניהו (@netanyahu) November 15, 2023

Unlike its powerful neighbour and Israel’s foremost backer, the United States, Canada says it aims to tread the middle ground in its policy on the Israeli-Palestinian conflict. It supports a two-state solution, opposes illegal Israeli settlements in the occupied territories and says international law must be respected by all parties.

But experts say Canada has two policies when it comes to the conflict: one on paper and one in practice.

They note that Canada has cast UN votes against its own stated positions and opposed Palestinian efforts to seek redress at the International Criminal Court, and argue that it has backed hardline, Israeli policies and failed to hold the country accountable for rights abuses.

“This government, as well as previous Canadian governments, have unfortunately had a blind spot with respect to Israel,” said Farida Deif, Canada director at Human Rights Watch.

She added that Canada’s stance has not changed despite the nearly two-month-long military campaign in Gaza, where bombs have struck hospitals, refugee camps and schools serving as shelters. More than 15,200 Palestinians have been killed.

“What we’ve seen with respect to Canada’s policy on Israel-Palestine is really a lack of coherence, confusion, and essentially not really engaging with the reality on the ground,” she told Al Jazeera. “And the reality on the ground that we’ve seen - that Palestinian organisations, Israeli organisations, international organisations have documented - is the reality of apartheid and persecution.”

So what drives Canada’s position?

Al Jazeera spoke to nearly a dozen human rights advocates, politicians, former officials and other experts about how foreign and domestic calculations influence Ottawa’s stance - and whether public outrage could shift its strategy."
2,https://www.aljazeera.com/news/2023/11/27/palestine-and-israel-brief-history-maps-and-charts,"As Gaza reels from Israel’s devastating bombardments, here’s a brief history of the conflict using maps and charts.

Israel’s deadly bombardment of Gaza has killed nearly 15,000 people, including 10,000 women and children, in over 50 days, making it the deadliest war for the besieged Palestinian enclave till date.

Israel has rebuffed calls for a ceasefire as a four-day humanitarian truce comes to an end on November 28. It is unclear whether the truce will be extended.

The devastation of Gaza and the mounting death toll has triggered worldwide protests, bringing the decades-long issue to the centre-stage of global politics.

The Balfour declaration

The Israeli-Palestinian issue goes back nearly a century when Britain, during World War I, pledged to establish a national home for the Jewish people in Palestine under the Balfour Declaration. British troops took control of the territory from the Ottoman Empire at the end of October 1917.

Jewish immigration to Palestine

A large-scale Jewish migration to Palestine began, accelerated by Jewish people fleeing Nazism in Europe. Between 1918 and 1947, the Jewish population in Palestine increased from 6 percent to 33 percent.

Palestinians were alarmed by the demographic change and tensions rose, leading to the Palestinian revolt from 1936 to 1939.

Meanwhile, Zionist organisations continued to campaign for a homeland for Jews in Palestine. Armed Zionist militias started to attack the Palestinian people, forcing them to flee. Zionism, which emerged as a political ideology in the late 19th century, called for the creation of a Jewish homeland.

The UN Partition Plan

As violence ravaged Palestine, the matter was referred to the newly formed United Nations. In 1947, the UN adopted Resolution 181, which called for the partition of Palestine into Arab and Jewish states, handing over about 55 percent of the land to Jews. Arabs were granted 45 percent of the land, while Jerusalem was declared a separate internationalised territory.

The city is currently divided between West Jerusalem, which is predominantly Jewish, and East Jerusalem with a majority Palestinian population. Israel captured East Jerusalem after the Six-Day War in 1967 along with the West Bank – a step not recognised by the international community.

The Old City in occupied East Jerusalem holds religious significance for Christians, Muslims, and Jews. It is home to Al-Aqsa Mosque compound, which is known to Muslims as al-Haram al-Sharif and to Jews as Temple Mount.

In 1981, the UN designated it a World Heritage Site.

The Nakba

Leading up to Israel’s birth in 1948, more than 750,000 Palestinians were ethnically cleansed from their homes by Zionist militias. This mass exodus came to be known as the Nakba or catastrophe.

A further 300,000 Palestinians were displaced by the Six-Day War in 1967.

Israel declared the annexation of East Jerusalem in 1980, but the international community still considers it an occupied territory. Palestinians want East Jerusalem as the capital of their future state.

The Oslo Accords

In 1993, Palestinian leader Yasser Arafat and Israeli Prime Minister Yitzhak Rabin signed the Oslo Accords, which aimed to achieve peace within five years. It was the first time the two sides recognised each other.

A second agreement in 1995 divided the occupied West Bank into three parts – Area A, B and C. The Palestinian Authority, which was created in the wake of the Oslo Accords, was offered only limited rule on 18 percent of the land as Israel effectively continued to control the West Bank.

Israeli settlements and checkpoints

However, the Oslo Accords slowly broke down as Israeli settlements, Jewish communities built on Palestinian land in the West Bank, grew at a rapid pace.

The settlement population in the West Bank and East Jerusalem grew from approximately 250,000 in 1993 to up to 700,000 in September this year. About three million Palestinians live in the occupied West Bank and East Jerusalem.

The building of Israeli settlements and a separation wall on occupied territories has fragmented the the Palestinian communities and restricted their mobility. About 700 road obstacles, including 140 checkpoints, dot the West Bank. About 70,000 Palestinians with Israeli work permits cross these checkpoints in their daily commute.

Settlements are considered illegal under international law. The UN has condemned settlements, calling it a big hurdle in the realisation of a viable Palestinian state as part of the so-called “two-state solution”.

Blockade of Gaza

Israel imposed a total blockade on the Gaza Strip on October 9, cutting its supplies of electricity, food, water, and fuel in the wake of a surprise Hamas attack inside Israel. At least 1,200 people were killed in that attack.

Israel and Palestine now

This is what Israel and Palestine look like now.

Today, about 5 million Palestinians live in Gaza, the West Bank and East Jerusalem and 1.6 million Palestinians are citizens of Israel. This makes up about half of their total population. The other half lives in other countries, including Arab countries. There are about 14.7 million Jews around the world today, of which 84 percent live in Israel and the United States. The rest live in other countries including France, Canada, Argentina and Russia.

Here is an account of Palestinian and Israeli lives lost to the violence between 2008 and 2023.

Data compiled by Sarah Shamim"
3,https://www.aljazeera.com/gallery/2023/12/1/thousands-march-for-palestine-as-israel-and-hamas-resume-fighting,"Thousands of people in Jordan have participated in a march for the eighth week in a row in support of Palestinians in the Gaza Strip in a protest that coincides with the end of a humanitarian pause and resumption of Israeli attacks.

The march began after the Friday prayer in front of the Grand Husseini Mosque in the centre of the capital, Amman, and proceeded to Palm Square, an Anadolu Agency correspondent reported.

Jordan’s government condemned Friday’s resumption of Israel’s “futile, aggressive” war on Gaza, calling for a “deterrent” international stance against Israel.

Palestinians living in the occupied West Bank gathered in the city of Hebron to protest against the Israeli assault on Gaza.

In Sanaa, the capital of Yemen, tens of thousands of people took part in a march to show solidarity with Palestinians.

More than 175 Palestinians have been killed and hundreds wounded in Israeli attacks on the blockaded Gaza Strip since the humanitarian pause ended on Friday morning, according to Palestinian authorities."
4,https://www.aljazeera.com/news/longform/2023/11/30/israel-palestine-war-ceasefire-or-pause-what-have-world-leaders-said,"""We are at war. Not an operation, not a round [of fighting], at war,"" Prime Minister Benjamin Netanyahu declared to his fellow Israelis on October 7, following a surprise attack by the Palestinian armed group Hamas that killed an estimated 1,200 people in Israel.

Within hours, the United States, Israel's closest ally, condemned the attacks as ""unconscionable"". President Joe Biden affirmed, ""Israel has the right to defend itself,"" echoing sentiments from Israel's allies worldwide.

Over the next seven weeks, Israel went on to drop more than 40,000 tonnes of explosives on Gaza, killing more than 15,000 people, including at least 6,150 children, and levelled entire neighbourhoods.

Following several failed resolutions at the United Nations and a flurry of diplomatic efforts, a four-day Gaza truce, agreed upon by Hamas and Israel, finally took effect on November 24 and was later extended for an additional three days.

As the war continues on the ground, a parallel battle is being waged through the exchange of words on the world stage.

To understand how language is shaping the current war, Al Jazeera examined all the speeches and statements given by 118 United Nations member states at all the UN Security Council (UNSC) and General Assembly (UNGA) sessions between October 7 and November 15.

In addition to the UN statements, we analysed hundreds of speeches and statements given by the leaders of Israel and Palestine, five permanent members of the UNSC — the US, UK, France, China and Russia, as well as eight regional players, namely Egypt, Iran, Jordan, Lebanon, Qatar, Saudi Arabia, Syria and Turkey.

Pause vs ceasefire - who said what?

Many countries have called for an immediate and comprehensive ceasefire, ending all hostilities, while Israel's allies have only called for a pause in fighting.

Those avoiding the call for a “ceasefire” echo Israel’s sentiment that Hamas should not be given any respite in fighting and the war should only end after the armed group's complete destruction. Many of these countries have called for peace or political resolution, but have fallen short of using the term “ceasefire”.

According to the United Nations:

A ceasefire is largely defined as a ""cessation of all acts of violence against the civilian population"".

While there is no universal definition of what a ceasefire entails, it typically includes a formal agreement to end the fighting and lays out a political process to de-escalate the conflict, such as withdrawing weapons or repositioning forces.

A humanitarian pause, on the other hand, is defined as a ""temporary cessation of hostilities purely for humanitarian purposes"".

A pause or truce is a temporary halt to fighting for an agreed-upon period.

Our analysis found that the majority of countries (55 percent) specifically called for a “ceasefire” in Gaza while 23 percent of nations underscored the importance of a temporary halt in hostilities. The remaining 22 percent did not explicitly endorse either option.

The majority of countries calling for a pause are European states as well as the US and Canada.

The Biden administration has called for “humanitarian pauses” in the war while firmly rejecting demands for a ceasefire, at least until Israel achieves its stated goal of eliminating Hamas.

The majority calling for a ceasefire are those in the Global South, with the exception of a handful of European states, most notably France, Ireland, Russia and Spain.

France has urged setting up a humanitarian truce which could lead eventually to a ceasefire.

For Palestinians in Gaza like Tala Herzallah, a 21-year-old student at the Islamic University of Gaza, the role of the international community and organisations like the UN in helping end the war has been close to ""zero"".

""All international laws are being violated, and no one says anything. It's all just ink on paper,"" she told Al Jazeera.

People are being bombed in hospitals, in schools. But all they do is condemn. Our blood is cheap by Tala Herzallah - student in Gaza

Moreover, like many Palestinians, Herzallah stressed that the conflict with Israel extends far beyond the tragic events of October 7.

""We (Gaza) have been under siege for more than 16 years, with pain, poverty and unemployment. Bombed every now and then."""
5,https://www.aljazeera.com/opinions/2023/12/1/its-high-time-the-west-ends-its-stomach-churning-doublespeak-on-palestine,"No, Israel does not have the ‘right’ to ‘defend itself’ against a population living under its occupation.

On November 15, after long negotiations and four failed attempts to reach a consensus, the United Nations Security Council finally adopted a resolution on what it calls the “Israel-Palestine crisis”.

Resolution 2712, adopted with 12 votes in favour, zero against and three abstentions (from Russia, the United Kingdom and the United States), however, did not achieve much other than give Israel the green light, yet again, to continue with its genocidal war on Gaza.

The resolution called for the implementation of “urgent and extended humanitarian pauses and corridors” in Gaza for “a sufficient number of days” to facilitate “full, rapid, safe and unhindered access for UN agencies and partners”. It demanded “the immediate and unconditional release of all hostages held by Hamas and other groups, especially children, as well as ensuring immediate humanitarian access”. And ostensibly to protect Palestinian civilians, who are bearing the brunt of Israel’s offensive, it further called on “all parties to refrain from depriving the civilian population in Gaza of basic services and aid indispensable to their survival, consistent with international humanitarian law”.

Ambassador Vanessa Frazier of Malta, who drafted the text, went as far as to say the votes for the resolution would translate “into real human lives. The lives of thousands of children, civilians and heroic humanitarian workers.”

It is, of course, impossible to say whether the resolution helped save any “real human lives” at all as it did not explicitly require Israel to stop killing Palestinians or condemn its indiscriminate bombing of and lawless siege on Gaza.

Indeed, the very call for “humanitarian pauses and corridors” was nothing but an admission that the UN Security Council is more than willing to allow Israel to continue with its ethnic cleansing project in Gaza as long as it agrees to occasionally stop its bombing and give safe passage to a few aid trucks, presumably to improve optics.

This is unacceptable.

Israel is committing war crimes in Gaza out in the open. Thousands of Palestinians, overwhelmingly women and children, have been killed in Gaza since October 7. UN Secretary-General Antonio Guterres himself has warned that in Gaza civilians are being killed at a rate “unparalleled and unprecedented in any conflict” he’s seen since he took office in 2017. The Israeli bombardment has reduced most civilian infrastructure – including hospitals, schools and a majority of homes – to rubble in the north of the besieged enclave, and the south is not faring much better. More people could die from disease in Gaza than from bombings if the health system is not urgently repaired, the World Health Organization said.

And yet, the mighty UN Security Council appears unable to offer the long suffering Palestinians in Gaza nothing more than a few aid trucks and an empty demand that Israel occasionally take a short break from indiscriminately killing them.

Even this watered-down and useless resolution, however, was a step too far for Israel’s imperial patron, the United States, who did not outright reject it yet still refused to vote for it.

In the aftermath of the vote, the US ambassador to the UN, Linda Thomas-Greenfield, explained in an official statement that her country did not vote yes because the text “did not condemn Hamas or reaffirm the right of all Member States to protect their citizens from terrorist attacks” – meaning it did not explicitly reaffirm Israel’s “right” to kill Palestinians with impunity.

This attitude, which puts Israel’s real and imagined “rights” at the centre of any discussion and action on Israel-Palestine, even when Israel is actively massacring Palestinian women and children in their thousands, is part and parcel of the US and the wider West’s strategy for “handling” the century-old conflict.

In fact, Thomas-Greenfield‘s statement on Resolution 2712 is a textbook example of how the US responds to any attempt, by anyone, to rebuke or censure its favourite settler colony: undermine the truth, defend the indefensible, and protect Israel at any cost.

In her statement, Thomas-Greenfield talked about Hamas’s October 7 attacks on southern Israel and called on Security Council members to condemn the Palestinian armed group that “gunned down civilians, burned families alive, and executed children”. Despite demanding condemnation of Hamas’s “barbaric” attack, however, she made no mention of Israel’s undoubtedly equally barbaric – or perhaps more so given its scale – shelling and siege of Gaza, which so far has killed more than 15,000 people, including a record number of children.

She, for example, did not mention how the Israeli decision to cut off fuel, water and medical supplies to Gaza’s 2.3 million people in clear violation of international law has resulted in the deaths of many patients, including premature babies, at al-Shifa and other Gaza hospitals.

She also refrained from talking about Israel’s targeted strikes on residential buildings in crowded refugee camps, on ambulance convoys or UN schools sheltering displaced civilians. She did not describe any of these acts, which made a mockery of international law and killed thousands of innocents, as “barbaric acts of terror”.

In the same statement, Thomas-Greenfield also tried to exonerate Israel of the carnage it has caused in Gaza since October 7 with a few understated words.

“Let’s be crystal clear,” she said, “Hamas set this conflict in motion.”

Of course, this sentence conveniently ignores Israel’s long and bloody history of colonial theft and illegal occupation that birthed Hamas in the first place.

Not content with just muddying the waters enough to shield Israel from any meaningful criticism or sanction, Thomas-Greenfield went on to do something equally sinister within her statement: She suggested that the Palestinians and the Israelis are equally suffering and that the US cares about Palestinians as much as it cares for the Israelis.

“The loss of every single innocent life is devastating,” she said without a hint of irony. “And we grieve for all those who have been killed – Israelis and Palestinians, men, women, children, and elderly people. People of all nationalities and faiths.”

This statement, from the beginning to the end, is a perfect example of the West’s default reaction to Israel’s undeniable and unjustifiable crimes against Palestinians: See no evil, hear no evil, speak no evil.

Thomas-Greenfield’s statement is undoubtedly a fine example of well calculated and expertly executed political deception, but it is hardly unique or extraordinary.

Indeed, President Joe Biden, his top diplomat, Antony Blinken, and their allies across Europe have been following the same playbook as Thomas-Greenfield and engaging in fury-inducing doublespeak on Palestine since the beginning of this latest war on Gaza.

Western leaders and diplomats have been hiding, impugning and distorting facts they have deemed unfit for public consumption to influence media narratives and deceive unsuspecting audiences as well as soothe the West’s collective conscience and enable Israel’s murderous agenda.

For example, Ursula von der Leyen, the president of the European Commission, who claims Europeans are “defenders of the free world”, routinely indulges in stomach-churning doublespeak about Palestine.

After a massive explosion at al-Ahli Arab Hospital in Gaza City killed hundreds of displaced civilians and maimed nearly as many, von der Leyen declared: “In this tragic hour, we must all redouble our efforts to protect civilians from the fury of this war.”

After she was done dispensing with the performative empathy, she turned the speech on its head and started talking about Israel’s “right to self-defence, in line with international law”.

Undoubtedly conscious of how wrong, incongruous and hypocritical that sounded, she added: “There is no contradiction in standing in solidarity with Israel and acting on the humanitarian needs of the Palestinian people.”

There is, unfortunately – and refusing to acknowledge that obvious contradiction is plain evil.

For decades, countless Western leaders have backed Israel’s “right” to unleash unimaginable terror on Gaza (and the occupied West Bank) in clear contravention of the Geneva Conventions.

This time the situation is so bad that UN experts have sounded the alarm over the “support of certain governments for Israel’s strategy of warfare against the besieged population of Gaza, and the failure of the international system to mobilise to prevent genocide”.

Enough is enough.

The West must respect the rules-based order and work with the international community to stop Israel’s illegal conduct in Gaza.

This is the fifth time Israel has launched a military offensive in Gaza since 2007, and each campaign has been filled with war crimes and shameless attempts in the West to undermine, justify and eventually normalise Palestinians deaths.

There’s no telling how many more lives must be lost in Gaza and the occupied West Bank before Thomas-Greenfield, Biden, von der Leyen and other Western actors make a humane and conscious effort to stop spreading lies and bolstering Israeli propaganda.

It’s time for the US and Europe to drop the atrocious pretence and condemn the genocide under way in Palestine.

In case it needs repeating: Israel does not have an indelible right to kill Palestinians.

The views expressed in this article are the author’s own and do not necessarily reflect Al Jazeera’s editorial stance."
6,https://www.aljazeera.com/features/2023/11/30/art-world-cancels-palestine-solidarity,"A celebrated Bangladeshi photojournalist, Palestinian filmmaker, and US author warn that cultural spaces are at risk of repression.

In early October, when Israel began bombing Gaza, Bangladeshi photojournalist Shahidul Alam was busy co-curating a planned photography exhibition in Germany.

Feeling worried, he took a break from his work and took to social media to decry Israel’s attacks on the densely populated Palestinian enclave.

Alam is no stranger to human rights abuses and speaking his mind.

In 2018, he was celebrated in Time magazine for his decades-long career documenting political unrest in Bangladesh. That year, he was detained for more than 100 days, accused of “false” statements after criticising Prime Minister Sheikh Hasina in an interview.

Since the onset of Israel’s war on Gaza, Alam has posted about the conflict dozens of times on Facebook to his 114,000 followers.

On October 8, one post read: “The news of semi-naked Israeli bodies being paraded is horrendous and cannot be justified … I feel for all Palestinians and Israelis lives destroyed.”

Another, on October 29, said: “This weekend’s horrific violence is the ugly reality of Israeli apartheid, the rotten fruit of decades of occupation of a stateless people divested of basic rights and freedoms.”

On November 21, the German Biennale for Contemporary Photography dropped the veteran shooter, accusing him of anti-Semitism.

“Various posts by Shahidul Alam on his Facebook channel after October 7 have given a platform to content that can be read as anti-Semitic and anti-Semitic content,” it said.

Alam’s two Bangladeshi co-curators, Tanzim Wahab and Munem Wasif, resigned in solidarity, prompting organisers to scrap next year’s exhibition tour of three German cities.

They said that among the allegedly anti-Semitic posts were an “uncommented interview by Shahidul Alam with the Palestinian ambassador to Bangladesh, a comparison of the current war with the Holocaust, and accusations of genocide by the state of Israel against the Palestinian population in Gaza”.

They also complained that Alam had not deleted “racist and other comparable comments” against Israelis from his page, ostensibly made by some of his followers.

Alam, Wahab and Wasif deny the allegations.

“We have a moral responsibility to decide which side of history we will stand on,” they said in a statement on Tuesday.

Alam told Al Jazeera: “I am an anti-Zionist which means I am against colonialism, settler colonialism, against racism, against apartheid and genocide.

“I am not an anti-Semite, and it’s most unfortunate that Germany chooses to conflate the two, [as this] serves and furthers the white supremacist agenda.”

The episode is one of many high-profile fallouts across the Western arts world in recent weeks over the Middle East war, focused on accusations of anti-Semitism.

Several tense cases are focused in Germany, which has a special responsibility to Israel given its history arising from the Holocaust. However, artists, protesters and activists say Berlin’s crackdown confuses criticism of Israeli policies with anti-Jewish racism.

‘Extremely distressing’

Israel began bombing Gaza after Hamas, which governs the densely populated Strip, attacked southern Israel, killing about 1,200 Israelis and kidnapping more than 200. To date, Israel’s strikes, officially aimed at crushing the Palestinian group, have killed more than 15,000 people, among them many children.

In the wake of the Hamas attack, the Frankfurt Book Fair “indefinitely postponed” an appearance by Palestinian author Adania Shibli, who was due to receive a prize for her novel Minor Detail on October 20.

On November 13, Haitian-born curator Anais Duplan was left “speechless” after his Afrofuturism exhibition at Germany’s Museum Folkwang was abruptly cancelled by the museum’s director Peter Gorschluter.

Gorschluter said Duplan’s social media posts “do not acknowledge the terroristic attack of the Hamas and consider the Israeli military operation in Gaza a genocide”.

Meanwhile, several artists have resigned from their posts at the renowned German modern art exhibition, Documenta, in a showdown that has dominated Europe’s cultural headlines for weeks.

On November 16, most of the exhibition’s six-member finding committee quit in solidarity with Ranjit Hoskote, who had quit days earlier after a German daily, Suddeutsche Zeitung, revealed that he had signed a 2019 letter published by the Indian arm of the Boycott, Divestment, Sanctions (BDS) movement.

That letter prompted German accusations of anti-Semitism against Hoskote, a writer and curator.

Earlier, the managing director of Documenta, Andreas Hoffmann, publicly condemned two Indonesian artistic directors of the last Documenta in 2022 for allegedly liking, and then unliking, an Instagram post in support of Palestine.

The pro-Palestinian post had been published by British artist and activist Hamja Ahsan, who took part in Documenta’s 2022 edition as a solo artist. Ahsan’s Instagram account username, realdocumenta, was later suspended. He alleged that Hoffmann had complained to the social media platform citing a trademark violation.

Ahsan told Al Jazeera he believes Hoffman’s complaint was a pretext to censor his pro-Palestinian content, as he described the episode as “extremely distressing”.

Hoffmann said that Ahsan’s username “infringed the trademark ‘Documenta’ … Based on its terms of use, Instagram came to the conclusion that the account had to be blocked.”

‘Propaganda against Palestinians’

Cultural sectors from the United Kingdom to the Netherlands have been impacted, too.

Earlier this month, several filmmakers withdrew from the world’s leading documentary festival, held in the Netherlands, after organisers criticised a pro-Palestinian protest on opening night during which activists raised a banner on stage reading “From the river to the sea, Palestine will be free”.

The artistic director of the International Documentary Festival Amsterdam (IDFA), Orwa Nyrabia, initially applauded the protest, but later condemned the slogan.

Palestinian filmmaker Basma Alsharif, who was among those to abandon the festival, accused Nyrabia of peddling misinformation.

“This kind of propaganda against Palestinians of being anti-Semitic is the thing that has been used widely against us for a long time,” Alsharif told Al Jazeera of the “river to the sea” slogan, which is deemed a rallying cry by pro-Palestinian protestors, but a call to destroy Israel by supporters of the Jewish state.

“There have been decades of fighting to get that [misinterpretation] cleared up and clarified but it’s very clear that it’s not working, because [accusations like this] are being used very aggressively against us right now.”

Nathan Thrall, an acclaimed American author based in Jerusalem, was looking forward to the London launch of his book, A Day in the Life of Abed Salama: A Palestine Story, on October 12, but the event was abruptly cancelled by police on security grounds.

The Palestine Festival of Literature, which was set to host him, announced the measure, which London’s Met Police force did not deny; “We do not comment on security advice given to individuals,” they told Al Jazeera.

Thrall’s work of narrative non-fiction details the challenges faced by Palestinians under Israeli occupation.

He told Al Jazeera that his London appearance had been the “biggest event of my book tour”.

“This was a time when the atmosphere in the UK was very [politically] hostile to expressions of sympathy for Palestinians,” said Thrall.

The writer, whose US book events were also cancelled, added, “Obviously, I wouldn’t want to hold an event if there really was an issue of safety” but questioned whether “events centred around a pro-Israel book would have had the same safety concerns”.

After almost two months of cancellations and condemnation, pro-Palestinian creatives in Europe see an uncertain future.

“Being an artist is already so precarious,” said Alsharif. “So how is it possible that someone’s personal political view on something in the cultural sector [can be] punished?

“That’s a very dangerous precedent. And if you don’t stand up then it means that anything [you say or do] can be scrutinised if it doesn’t fall under an agenda.”"
7,https://www.aljazeera.com/news/2023/11/29/cia-cautions-staff-on-social-media-use-after-officers-pro-palestine-post,"The incident illustrates the deep divisions that the war in Gaza has opened up within US government institutions.

The CIA has stressed to its officers that they should refrain from political statements on social media after one of its top officers shared a pro-Palestinian photo on Facebook.

The intelligence agency’s associate deputy director for analysis changed their Facebook cover photo to a man waving a Palestinian flag on October 21, two weeks after Israel launched an all-out offensive against Palestinian group Hamas, the Financial Times reported.

The officer reportedly deleted the post, along with another previously shared image with the words “Free Palestine”, after being contacted by the media.

The agency has since sent out an internal memo reiterating its policy against political messaging on social media, NBC News reported.

The CIA is the US’s top foreign intelligence agency, responsible for delivering intelligence and analysis to the president.

The official at the centre of the recent social media incident previously led the development of a top-secret document titled the President’s Daily Brief, the Financial Times reported.

Posting politically charged content on social media is highly unusual for officials with such sensitive intelligence roles.

Deep divisions

The social media post from the senior CIA officer underlines deep divisions within the US government over President Joe Biden’s handling of the Israel-Hamas war, which has killed some 15,000 Palestinians and left much of the besieged Gaza Strip in ruins.

While Biden has offered staunch backing to Israel’s government, despite the mounting death toll, hundreds of government officials and former campaign staffers have signed open letters urging him to lobby for a ceasefire to protect Palestinians.

The social media incident also comes after other US government officials faced backlash for their public comments about the Gaza war.

Last week, a former US State Department official was arrested after videos of him harassing a halal food vendor in New York and calling for more Palestinian children to die went viral on social media."
8,https://www.aljazeera.com/tag/israel-palestine-conflict/,Is­rael has only it­self to blame for the the pub­lic out­rage against its apartheid re­al­i­ty and the hor­rif­ic war on Gaza.
9,https://www.aljazeera.com/program/the-bottom-line/2023/11/29/is-bidens-two-state-plan-for-israel-and-palestine-a-fantasy,"The US was happy to neglect the Palestinian issue for years. Why is it talking of a ‘reinvigorated’ peace process now?

After the war on Gaza, US President Joe Biden says he wants to “reinvigorate” the attempts to create a Palestinian state alongside Israel.

But the devil is in the details. After the Hamas attack on Israel, and Israel’s scorched-earth war on Gaza, will either side want to talk about peace and stability? Are Israelis willing to make the compromises that Palestinians would find acceptable, and vice versa?

Mara Rudman worked as a Middle East envoy in the Clinton and Obama administrations. She tells host Steve Clemons that US national security interests will force Washington to impose a resolution."
