,0,1
0,one,0.86910915
1,israel,0.8803342
2,time,0.88989246
3,said,0.8904849
4,year,0.89666355
5,day,0.8993424
6,even,0.90034676
7,people,0.91068274
8,say,0.91154313
9,israeli,0.9145385
10,another,0.91796714
11,would,0.9187225
12,new,0.91887796
13,week,0.9199924
14,american,0.9215054
15,last,0.9231547
16,war,0.9254889
17,part,0.9256492
18,7,0.9257486
19,palestinian,0.92611116
20,state,0.92710704
21,way,0.92786384
22,like,0.9288932
23,according,0.9312859
24,united,0.9323884
25,also,0.93355435
26,country,0.9343878
27,attack,0.9352045
28,since,0.936675
29,fire,0.93709236
