,0,1
0,coppins,0.8241483
1,israel,0.8790183
2,said,0.8795601
3,one,0.89299315
4,time,0.8981272
5,attack,0.90516675
6,day,0.90656596
7,israeli,0.9095953
8,year,0.91199285
9,would,0.9137877
10,even,0.9210903
11,week,0.92137545
12,people,0.9220738
13,palestinian,0.92484057
14,new,0.9264058
15,war,0.9274235
16,united,0.92755693
17,another,0.9287012
18,american,0.92896724
19,state,0.9291079
20,country,0.9293571
21,say,0.93142986
22,way,0.9316323
23,gaza,0.9339201
24,last,0.9351453
25,according,0.9353494
26,could,0.9365043
27,hamas,0.9384197
28,security,0.9396646
29,called,0.9399311
